StockNo,Make,Model,Year,Trim,BodyStyle,Transmission,Fuel,Engine,Drivetrain,Mileage,ExteriorColor,InteriorColor,VIN,Price,Condition,Features,Location,Photo
A011,Mercedes-Benz,C-Class,2019,C200,Sedan,Automatic,Petrol,1.5L Turbo,RWD,54000.0,Silver,Black,WDD2050831R010011,24990.0,Used,LED;Parking Pilot;Heated Seats,"Budapest, HU",
A012,Mercedes-Benz,GLC,2021,GLC 300,SUV,Automatic,Petrol,2.0L Turbo,AWD,24000.0,Blue,Beige,WDC0G8EB1MV010012,44900.0,Used,AWD;Panoramic Roof;360 Camera,"Sopron, HU",
A013,Audi,A4,2020,35 TFSI,Sedan,Automatic,Petrol,2.0 TFSI,FWD,41000.0,White,Black,WAUZZZF4XLN010013,23990.0,Used,Virtual Cockpit;LED;Apple CarPlay,"Budapest, HU",
A014,Audi,Q5,2022,40 TDI quattro,SUV,Automatic,Diesel,2.0 TDI,AWD,20000.0,Gray,Black,WAUZZZFYXN2010014,52990.0,Used,AWD;Adaptive Cruise;Matrix LED,"Budapest, HU",
A015,Skoda,Octavia,2019,Ambition,Wagon,Automatic,Petrol,1.4 TSI,FWD,72000.0,Green,Black,TMBJG7NE0KZ010015,13950.0,Used,Parking Sensors;Bluetooth;Cruise Control,"Miskolc, HU",
A016,Skoda,Kodiaq,2021,Style,SUV,Automatic,Diesel,2.0 TDI,AWD,31000.0,Brown,Black,TMBJG9NS1MZ010016,33990.0,Used,7 Seats;AWD;Heated Seats;Tow Package,"Budapest, HU",
A017,Hyundai,i30,2020,Premium,Hatchback,Automatic,Petrol,1.4 T-GDi,FWD,39000.0,Blue,Black,TMAHC51ALLL010017,14990.0,Used,Lane Keep;Apple CarPlay;Heated Wheel,"Budapest, HU",
A018,Hyundai,Tucson,2022,Hybrid,SUV,Automatic,Hybrid,1.6 T-GDi Hybrid,AWD,17000.0,Gray,Black,TMAJ381ABNN010018,32950.0,Used,AWD;Blind Spot;Remote Parking,"Budapest, HU",
A019,Kia,Ceed,2019,LX,Hatchback,Manual,Diesel,1.6 CRDi,FWD,80500.0,Silver,Gray,U5YPC811BKL010019,11990.0,Used,Cruise Control;Bluetooth;Heated Seats,"Szeged, HU",
A020,Kia,Sportage,2021,GT-Line,SUV,Automatic,Petrol,1.6 T-GDi,AWD,25000.0,White,Black,U5YPC81ABMM010020,28990.0,Used,AWD;LED;Apple CarPlay;Android Auto,"Budapest, HU",
A021,Volvo,XC60,2018,D4 Inscription,SUV,Automatic,Diesel,2.0L I4,AWD,92000.0,Black,Beige,YV1UZ10D0J2010021,26990.0,Used,Pilot Assist;AWD;Leather;360 Camera,"Budapest, HU",
A022,Volvo,S60,2020,T5 Momentum,Sedan,Automatic,Petrol,2.0L Turbo,FWD,46000.0,Red,Black,7JRBR0DT0L2010022,25900.0,Used,Pilot Assist;LED;Heated Seats,"Budapest, HU",
A023,Peugeot,3008,2021,Allure,SUV,Automatic,Diesel,1.5 BlueHDi,FWD,29000.0,Gray,Black,VF3MCYHZRMS010023,25990.0,Used,i-Cockpit;Lane Keep;Panoramic Roof,"Budapest, HU",
A024,Renault,Clio,2019,Intens,Hatchback,Manual,Petrol,0.9 TCe,FWD,65000.0,Orange,Black,VF1RBR00460210024,9990.0,Used,LED;Cruise;Parking Sensors,"Pécs, HU",
A025,Tesla,Model 3,2022,Long Range,Sedan,Single-Speed,Electric,Dual Motor,AWD,21000.0,White,Black,5YJ3E1EA5NF010025,37990.0,Used,Autopilot;AWD;Glass Roof;Heated Wheel,"Budapest, HU",
A026,Tesla,Model Y,2023,Performance,SUV,Single-Speed,Electric,Dual Motor,AWD,9000.0,Blue,White,7SAYGDEE9PF010026,51990.0,Used,AWD;Performance Brakes;Autopilot,"Budapest, HU",
A027,Dacia,Duster,2018,Prestige,SUV,Manual,Petrol,1.6 SCe,4x4,98500.0,Khaki,Black,UU1HSDABKJH010027,10990.0,Used,4x4;Roof Rails;Navigation,"Szeged, HU",
A028,Mazda,CX-5,2020,Takumi,SUV,Automatic,Petrol,2.5 Skyactiv-G,AWD,37000.0,Soul Red,White,JMZKF4WLA04100028,28950.0,Used,AWD;Heads-Up;Bose Audio,"Budapest, HU",
A029,Mazda,3,2019,Revolution,Hatchback,Manual,Petrol,2.0 Skyactiv-G,FWD,52000.0,Gray,Black,JMZBP14A601010029,15490.0,Used,HUD;Lane Keep;Android Auto,"Debrecen, HU",
A030,Seat,Leon,2021,FR,Hatchback,Automatic,Petrol,1.5 TSI,FWD,28000.0,Blue,Black,VSSZZZKLZMR010030,18990.0,Used,Digital Cockpit;LED;Wireless CarPlay,"Budapest, HU",
12352165,BMW,X3,2021,,SUV,Automatic,Petrol,1.8,RWD,2000.0,White,Black,52165521655216512,25000.0,Used,123,"Budapest, HU",
